run_id,Bo,Mo,Sc,E,d,t_detach,Vbubble_detach,yCent_detach,jNorm_detach,mGrowth_detach,dC_detach,kL_detach,dNb_detach,detached,Vbubble_end,yCent_end,jNorm_end,mGrowth_end,dC_end,Aint_end,jNorm_mean,mGrowth_mean,AdCInt
S139,0.38898069,2.29E-10,230.95081,17.795158,0.29133119,0.00465774,9.37E-13,0.13047,0.960971,1.57E-17,0.012827,0.000344416,2.20E-17,1,9.37E-13,0.874143,0.958931,1.27E-16,0.118339,2.46E-09,0.955306,2.31E-17,6.38E-14
S140,0.88398069,7.23E-13,355.95081,37.545158,0.14133119,0.00425306,2.20E-13,0.0625605,0.990626,4.13E-19,0.00056487,0.00166499,1.55E-18,1,2.20E-13,0.818078,0.985064,6.76E-19,0.00773969,1.24E-09,0.988847,1.82E-18,9.30E-16
S141,0.63648069,1.29E-11,168.45081,7.9201575,0.21633119,0.00464347,5.17E-13,0.09579,0.97829,9.15E-19,0.00169843,0.000197527,1.19E-18,1,5.17E-13,0.945962,0.96952,7.28E-18,0.0162757,2.02E-09,0.97453,2.81E-18,6.00E-15
S142,0.14148069,4.07E-14,293.45081,27.670158,0.36633119,0.00279271,1.48E-12,0.159067,0.938331,2.15E-18,0.00330881,0.000120844,1.51E-18,1,1.48E-12,0.927287,0.916179,2.46E-17,0.051565,2.40E-09,0.927368,4.04E-18,1.25E-14
S143,0.17241819,8.98E-12,270.01331,11.623283,0.13195619,0.00196924,1.92E-13,0.0578556,0.991941,1.17E-18,0.000673491,0.00243785,1.22E-18,1,1.92E-13,0.968867,0.990431,5.35E-18,0.0146666,8.62E-10,0.990421,5.38E-18,5.00E-16
S144,0.66741819,2.84E-14,395.01331,31.373283,0.28195619,0.00516129,8.79E-13,0.123873,0.962725,1.46E-19,0.000999932,6.48E-05,3.39E-19,1,8.79E-13,0.944103,0.946452,2.13E-19,0.00975129,2.04E-09,0.956103,7.60E-19,5.23E-15
S145,0.91491819,1.60E-10,207.51331,1.7482825,0.35695619,0.00734609,1.41E-12,0.160958,0.94153,1.57E-18,0.00142272,0.00020589,2.85E-18,1,1.41E-12,0.912325,0.918675,9.59E-18,0.0085307,3.30E-09,0.932335,1.43E-18,1.38E-14
S146,0.41991819,5.05E-13,332.51331,21.498283,0.20695619,0.00362233,4.73E-13,0.0907324,0.980069,4.15E-19,0.00102369,0.000280685,7.38E-19,1,4.73E-13,0.960457,0.969596,3.03E-18,0.0124546,1.50E-09,0.976467,1.98E-18,2.63E-15
S147,0.29616819,6.73E-10,363.76331,26.435783,0.24445619,0.00399839,6.59E-13,0.109913,0.972391,1.56E-17,0.0128737,0.000461808,2.12E-17,1,6.59E-13,0.929607,0.968236,1.25E-16,0.136179,2.09E-09,0.968758,3.21E-17,4.59E-14
S148,0.79116819,2.13E-12,238.76331,6.6857825,0.39445619,0.00677053,1.72E-12,0.174756,0.928249,1.31E-18,0.00193679,0.00010414,2.01E-18,1,1.72E-12,0.852807,0.922954,9.35E-18,0.0124495,3.07E-09,0.916031,1.25E-18,1.93E-14
S149,0.54366819,3.79E-11,301.26331,36.310783,0.31945619,0.00536794,1.13E-12,0.142211,0.953055,1.37E-17,0.0131265,0.000223752,1.86E-17,1,1.13E-12,0.835462,0.946533,9.37E-17,0.103613,2.72E-09,0.945434,1.60E-17,8.29E-14
S150,0.048668194,1.20E-13,176.26331,16.560783,0.16945619,0.00114675,3.18E-13,0.0737161,0.986687,2.01E-18,0.00116618,0.00216766,1.57E-18,1,3.18E-13,0.684694,0.983174,1.89E-17,0.0466091,1.45E-09,0.984237,1.02E-17,7.26E-16
S151,0.11054319,7.77E-11,285.63831,9.1545325,0.26320619,0.00243763,7.66E-13,0.117073,0.967946,9.42E-18,0.00471533,0.00066002,7.29E-18,1,7.66E-13,0.942244,0.960633,9.24E-17,0.0763845,1.62E-09,0.963489,1.70E-17,1.10E-14
S152,0.60554319,2.46E-13,160.63831,28.904533,0.11320619,0.00320294,1.42E-13,0.0499664,0.993994,7.39E-19,0.000293902,0,2.91E-18,1,1.42E-13,0.851674,0.990074,5.94E-19,0.00975027,1.02E-09,0.992704,3.00E-18,1.72E-16
S153,0.85304319,4.37E-12,348.13831,19.029533,0.18820619,0.00487392,3.90E-13,0.0833396,0.98347,4.16E-19,0.00100977,0.000268549,8.37E-19,1,3.90E-13,0.903583,0.972382,2.52E-18,0.00936402,1.73E-09,0.980554,1.71E-18,3.12E-15
S154,0.35804319,1.38E-14,223.13831,38.779533,0.33820619,0.00418421,1.26E-12,0.147237,0.947105,5.77E-19,0.00311031,4.35E-05,7.01E-19,1,1.26E-12,0.928347,0.930916,2.06E-18,0.0366764,2.32E-09,0.937605,2.31E-18,1.61E-14
S155,0.48179319,1.84E-11,191.88831,33.842033,0.37570619,0.00544043,1.56E-12,0.166803,0.935356,2.99E-17,0.0224729,0.000222086,3.78E-17,1,1.56E-12,0.809432,0.922884,2.06E-16,0.18021,3.18E-09,0.924791,2.62E-17,1.70E-13
S156,0.97679319,5.83E-14,316.88831,14.092033,0.22570619,0.00553009,5.63E-13,0.0998294,0.975876,7.70E-20,0.000378604,0.000158109,2.55E-19,1,5.63E-13,0.923953,0.959666,6.10E-20,0.00354968,2.20E-09,0.971653,3.77E-19,1.61E-15
S157,0.72929319,3.28E-10,254.38831,23.967033,0.15070619,0.00436831,2.50E-13,0.0673631,0.989505,2.86E-18,0.00368735,0.000428974,3.38E-18,1,2.50E-13,0.791057,0.984244,1.56E-17,0.0347202,1.29E-09,0.987663,1.12E-17,7.87E-15
S158,0.23429319,1.04E-12,379.38831,4.2170325,0.30070619,0.0033229,9.99E-13,0.13149,0.958331,4.24E-19,0.000531867,0.00019176,3.72E-19,1,9.99E-13,0.940293,0.942444,4.56E-18,0.00626743,1.98E-09,0.951138,7.97E-19,1.94E-15
S159,0.24976194,2.21E-11,328.60706,17.17797,0.23976869,0.00322345,6.35E-13,0.105855,0.97346,3.40E-18,0.00353504,0.000336157,3.29E-18,1,6.35E-13,0.936501,0.972296,3.36E-17,0.0416909,1.54E-09,0.969144,8.36E-18,9.77E-15
S160,0.74476194,6.98E-14,203.60706,36.92797,0.38976869,0.00638973,1.68E-12,0.171402,0.929519,1.18E-18,0.00525852,3.59E-05,1.75E-18,1,1.68E-12,0.915593,0.908217,5.26E-18,0.0400484,2.78E-09,0.917168,2.38E-18,4.87E-14
S161,0.99226194,3.92E-10,391.10706,7.30297,0.31476869,0.00729472,1.09E-12,0.142623,0.954433,2.45E-18,0.00309045,0.000222315,5.81E-18,1,1.09E-12,0.91334,0.937124,1.63E-17,0.0181165,2.94E-09,0.947428,3.20E-18,2.61E-14
S162,0.49726194,1.24E-12,266.10706,27.05297,0.16476869,0.00352677,2.99E-13,0.0723914,0.987396,7.06E-19,0.00115667,0.000753874,1.59E-18,1,2.99E-13,0.965269,0.982207,3.62E-18,0.0151309,1.29E-09,0.985067,3.35E-18,2.11E-15
S163,0.37351194,9.30E-11,172.35706,22.11547,0.30920229,0.00457235,1.06E-12,0.137794,0.956066,2.78E-17,0.0187722,0.000313656,3.06E-17,1,1.06E-12,0.843709,0.947321,2.05E-16,0.178652,2.62E-09,0.949366,3.24E-17,9.77E-14
S164,0.86851194,2.94E-13,297.35706,2.36547,0.27726869,0.00584087,8.50E-13,0.122539,0.963914,3.69E-20,0.000163097,6.03E-05,5.79E-20,1,8.50E-13,0.937811,0.945546,1.61E-19,0.0013538,2.75E-09,0.95765,1.22E-19,9.60E-16
S165,0.62101194,5.23E-12,234.85706,31.99047,0.35226869,0.00579008,1.37E-12,0.155889,0.942798,8.08E-18,0.0102551,0.000140681,1.09E-17,1,1.37E-12,0.896155,0.943902,5.75E-17,0.0751089,2.40E-09,0.933104,8.93E-18,7.75E-14
S166,0.12601194,1.65E-14,359.85706,12.24047,0.20226869,0.00195604,4.52E-13,0.0876985,0.980976,1.67E-19,0.000289767,0.000707176,2.68E-19,1,4.52E-13,0.957711,0.975576,3.70E-19,0.00750033,1.22E-09,0.977456,1.02E-18,3.79E-16
S167,0.064136944,8.06E-10,219.23206,4.83422,0.10822572,0.00140013,1.29E-13,0.0478905,0.994583,5.05E-18,0.00120239,0.00296175,1.63E-18,1,1.29E-13,0.534435,0.99313,2.79E-17,0.0364132,9.05E-10,0.993558,1.88E-17,5.50E-16
S168,0.55913694,2.55E-12,344.23206,24.58422,0.22101869,0.00433306,5.39E-13,0.0973241,0.977335,8.02E-19,0.00182621,0.000184638,1.13E-18,1,5.39E-13,0.921784,0.973395,6.71E-18,0.0180066,1.78E-09,0.97335,2.85E-18,6.13E-15
S169,0.80663694,4.53E-11,156.73206,14.70922,0.14601869,0.00432294,2.36E-13,0.0650155,0.99007,1.40E-18,0.00188347,0.000651739,2.41E-18,1,2.36E-13,0.81417,0.983393,6.43E-18,0.0199737,1.30E-09,0.988229,5.73E-18,3.69E-15
S170,0.31163694,1.43E-13,281.73206,34.45922,0.29601869,0.00371015,9.68E-13,0.129152,0.959398,1.19E-18,0.00316438,9.77E-05,1.23E-18,1,9.68E-13,0.938572,0.944397,1.14E-17,0.0378314,2.09E-09,0.95219,3.60E-18,1.26E-14
S171,0.43538694,1.07E-11,375.48206,39.39672,0.25851869,0.00426486,7.39E-13,0.114156,0.969114,3.91E-18,0.00579092,0.000195921,4.51E-18,1,7.39E-13,0.945208,0.957625,3.17E-17,0.0537024,1.65E-09,0.963887,8.73E-18,2.30E-14
S172,0.93038694,3.40E-14,250.48206,19.64672,0.10851869,0.00377528,1.30E-13,0.0480789,0.994445,1.47E-19,2.26E-06,0,9.44E-19,1,1.30E-13,0.735458,0.989131,3.25E-20,0.00186055,1.03E-09,0.99323,5.51E-19,5.38E-19
S173,0.68288694,1.91E-10,312.98206,29.52172,0.18351869,0.00463864,3.72E-13,0.0819773,0.984432,3.24E-18,0.00492697,0.000297283,4.28E-18,1,3.72E-13,0.881378,0.977437,2.21E-17,0.0437026,1.58E-09,0.981814,1.12E-17,1.44E-14
S174,0.18788694,6.04E-13,187.98206,9.77172,0.33351869,0.0031295,1.23E-12,0.145661,0.948844,2.85E-18,0.0028088,0.00020026,2.16E-18,1,1.23E-12,0.932504,0.930843,3.59E-17,0.0360456,2.19E-09,0.939996,4.18E-18,1.08E-14
S175,0.15694944,1.33E-10,352.04456,30.756095,0.17414369,0.00234423,3.35E-13,0.0771861,0.985958,8.13E-18,0.00586118,0.000674747,5.53E-18,1,3.35E-13,0.947353,0.984448,6.70E-17,0.101365,1.42E-09,0.983841,2.94E-17,8.20E-15
S176,0.65194944,4.22E-13,227.04456,11.006095,0.32414369,0.00553936,1.16E-12,0.142647,0.951229,5.58E-19,0.00160917,6.96E-05,7.40E-19,1,1.16E-12,0.88632,0.956135,5.06E-18,0.0128627,2.33E-09,0.942712,1.14E-18,1.06E-14
S177,0.89944944,7.50E-12,289.54456,20.881095,0.39914369,0.00731474,1.76E-12,0.177866,0.926544,5.69E-18,0.00676798,0.000129765,9.57E-18,1,1.76E-12,0.865624,0.917821,3.01E-17,0.0412185,3.40E-09,0.91423,4.79E-18,7.37E-14
S178,0.40444944,2.37E-14,164.54456,1.131095,0.24914369,0.00382932,6.86E-13,0.108848,0.971048,1.69E-20,7.38E-05,0.000147613,3.64E-20,1,6.86E-13,0.949973,0.959295,3.17E-20,0.00097146,1.75E-09,0.965781,9.45E-20,2.47E-16
S179,0.28069944,3.16E-11,258.29456,6.068595,0.21164369,0.00321922,4.94E-13,0.093462,0.97935,1.23E-18,0.0013146,0.00036174,1.14E-18,1,4.94E-13,0.967414,0.961767,1.14E-17,0.0157109,1.41E-09,0.975988,3.56E-18,3.14E-15
S180,0.77569944,1.00E-13,383.29456,25.818595,0.36164369,0.00628985,1.44E-12,0.159197,0.939217,4.06E-19,0.00183005,3.91E-05,6.04E-19,1,1.44E-12,0.921354,0.921761,1.63E-18,0.0140356,2.51E-09,0.928606,9.05E-19,1.54E-14
S181,0.52819944,5.62E-10,195.79456,15.943595,0.28664369,0.00544657,9.08E-13,0.129235,0.962179,1.77E-17,0.015385,0.000316806,2.79E-17,1,9.08E-13,0.920211,0.953968,1.32E-16,0.123436,2.50E-09,0.956785,2.61E-17,8.81E-14
